Kecamatan,Desa,Lokasi,Sumber Penghasilan Utama,Penerangan Jalan Utama,Bahan Bakar Yang Digunakan KK,Jamban,Tempat Buang Sampah,Tempat Penampungan Sampah Sementara,Rawan Longsor,Rawan Banjir,Rawan Angin Putting Beliung
KALIMANAH,JOMPO,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,RABAK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,BLATER,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,SIDAKANGEN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,KARANGPETIR,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,GRECOL,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,MEWEK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KARANGMANYAR,Hamparan,Perdagangan Besar/Eceran dan Rumah Makan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KALIKABONG,Hamparan,Perdagangan Besar/Eceran dan Rumah Makan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,SELABAYA,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KALIMANAH WETAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,KALIMANAH KULON,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,MANDURAGA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KARANGSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KEDUNGWULUH,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,KLAPASAWIT,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,BABAKAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,KARANGPULE,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
PADAMARA,KALITINGGAR,Hamparan,Pertanian,Tidak,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,SOKAWERA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,PADAMARA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PADAMARA,KARANGJAMBE,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,BOJANEGARA,Hamparan,Jasa,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PADAMARA,KARANGSENTUL,Hamparan,Pertanian,Tidak,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,GEMURUH,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PADAMARA,DAWUHAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,PRIGI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,PURBAYASA,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PADAMARA,KARANGGAMBAS,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,MIPIRAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,KALITINGGAR KIDUL,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
KUTASARI,KARANGLEWAS,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,MUNJUL,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Ada,Ada
KUTASARI,KARANGKLESEM,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,KUTASARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,SUMINGKIR,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,MERI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,KARANGREJA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,KARANGAREN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,LIMBANGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,CENDANA,Hamparan,Pertanian,Tidak,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,CANDIWULAN,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,KARANGCEGAK,Hamparan,Industri Pengolahan,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,CANDINATA,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KUTASARI,KARANGJENGKOL,Lereng,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,BROBOT,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,GEMBONG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,GALUH,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,BANJARAN,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,PATEMON,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,BOJONGSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,KAJONGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,KARANGBANJAR,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Ada
BOJONGSARI,BEJI,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,PAGEDANGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,PEKALONGAN,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,METENGGENG,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOJONGSARI,BUMISARI,Lereng,Industri Pengolahan,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,KARANGTURI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,ONJE,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,SINDANG,Hamparan,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Ada
MREBET,TANGKISAN,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
MREBET,KRADENAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,LAMBUR,Lembah,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
MREBET,SELAGANGGENG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,MANGUNEGARA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,KARANG NANGKA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Ada
MREBET,MREBET,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
MREBET,BOJONG,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,SERAYU KARANGANYAR,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,SERAYU LARANGAN,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,CAMPAKOAH,Lereng,Pertanian,Tidak,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,PAGER ANDONG,Hamparan,Pertanian,Tidak,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,CIPAKU,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,BINANGUN,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
MREBET,PENGALUSAN,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
MREBET,SANGKANAYU,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOBOTSARI,GANDASULI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOBOTSARI,KALAPACUNG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Ada
BOBOTSARI,KARANGMALANG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Ada,Tidak Ada
BOBOTSARI,BANJARSARI,Lembah,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Ada,Ada
BOBOTSARI,MAJAPURA,Hamparan,Perdagangan Besar/Eceran dan Rumah Makan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
BOBOTSARI,BOBOTSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BOBOTSARI,KARANGDUREN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOBOTSARI,PAKUNCEN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
BOBOTSARI,KARANGTALUN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BOBOTSARI,GUNUNGKARANG,Hamparan,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BOBOTSARI,TALAGENING,Lembah,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
