Kecamatan,Desa,Lokasi,Sumber Penghasilan Utama,Penerangan Jalan Utama,Bahan Bakar Yang Digunakan KK,Jamban,Tempat Buang Sampah,Tempat Penampungan Sampah Sementara,Rawan Longsor,Rawan Banjir,Rawan Angin Putting Beliung
KERTANEGARA,CONDONG,Hamparan,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KERTANEGARA,KARANGPUCUNG,Hamparan,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KERTANEGARA,KARANGASEM,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KERTANEGARA,ADIARSA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Ada,Ada,Ada
KERTANEGARA,LANGKAP,Lereng,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Lainnya,Tidak,Ada,Tidak Ada,Ada
KERTANEGARA,DARMA,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KERTANEGARA,KRANGEAN,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KARANGMONCOL,KARANGSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,PEPEDAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,PEKIRINGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,GRANTUNG,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,RAJAWANA,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,TAJUG,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,TAMANSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,BALERAKSA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Ada,Tidak Ada
KARANGMONCOL,TUNJUNGMULI,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Ada,Tidak Ada
KARANGMONCOL,KRAMAT,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
KARANGMONCOL,SIRAU,Lereng,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
REMBANG,WLAHAR,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Sungai/saluran irigasi,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
REMBANG,BANTARBARANG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
REMBANG,KARANGBAWANG,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Ada,Tidak Ada,Tidak Ada
REMBANG,GUNUNGWULED,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Ada,Tidak Ada,Tidak Ada
REMBANG,LOSARI,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Ada,Tidak Ada,Tidak Ada
REMBANG,BODAS KARANGJATI,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
REMBANG,WANOGARA WETAN,Hamparan,Pertanian,Ada,LPG,Bukan Jamban,Tempat sampah kemudian diangkut,Ada,Ada,Ada,Tidak Ada
REMBANG,WANOGARA KULON,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Ada,Tidak Ada
REMBANG,MAKAM,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Ada,Tidak Ada,Ada
REMBANG,SUMAMPIR,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
REMBANG,TANALUM,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Ada
REMBANG,PANUSUPAN,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Ada,Tidak Ada,Tidak Ada
